Date,KES_Flow
9/1/2022,4391
9/2/2022,4391
9/3/2022,4393
9/4/2022,4393
9/5/2022,4297
9/6/2022,4278
9/7/2022,4291
9/8/2022,4289
9/9/2022,4268
9/10/2022,4223
9/11/2022,4209
